R,G,B,Label
40,50,121,r
41,49,120,r
34,44,119,r
37,49,124,r
51,55,123,r
47,50,130,r
39,45,121,r
41,48,121,r
47,53,116,r
46,48,114,r
51,53,127,r
49,61,113,r
46,55,117,r
55,51,110,r
51,64,125,r
44,62,113,r
37,52,108,r
33,51,109,r
46,66,117,r
35,62,108,r
38,49,105,r
46,55,108,r
53,59,112,r
41,53,107,r
43,55,114,r
43,57,116,r
47,61,113,r
50,69,118,r
47,47,105,r
50,49,110,r
62,61,117,r
47,65,116,r
54,56,114,r
60,56,115,r
50,67,117,r
46,53,110,r
43,51,104,r
41,50,101,r
57,58,112,r
49,56,116,r
48,53,110,r
46,52,112,r
53,51,109,r
49,57,110,r
48,51,107,r
41,54,104,r
53,61,118,r
48,56,109,r
49,62,104,r
44,58,110,r
47,55,108,r
35,51,105,r
74,71,132,r
51,49,113,r
43,54,110,r
46,53,110,b
36,56,107,b
45,57,109,b
40,55,111,b
123,67,0,b
90,65,0,b
76,45,2,b
74,51,5,b
77,52,19,b
79,51,0,b
71,58,7,b
74,49,5,b
74,51,0,b
78,54,6,b
73,58,7,b
77,54,10,b
77,51,9,b
71,50,0,b
83,44,9,b
80,51,6,b
74,48,6,b
75,48,15,b
76,53,3,b
77,56,12,b
73,53,10,b
80,55,16,b
82,55,8,b
83,53,6,b
80,49,13,b
82,45,10,b
83,50,4,b
81,46,6,b
76,51,7,b
74,44,13,b
76,46,17,b
80,48,13,b
78,49,4,b
72,53,1,b
83,46,6,b
70,37,7,b
81,52,9,b
80,46,18,b
74,41,11,b
76,45,9,b
81,49,0,b
68,44,7,b
75,46,13,b
71,53,10,b
81,44,10,b
82,54,9,b
76,55,9,b
73,56,3,b
81,57,1,b
83,46,11,b
76,44,3,b
94,142,77,g
91,145,65,g
92,142,71,g
93,137,84,g
95,138,74,g
95,143,73,g
86,139,81,g
78,142,76,g
83,143,66,g
93,139,80,g
83,141,80,g
85,137,83,g
95,138,81,g
92,142,66,g
99,138,80,g
92,145,69,g
93,141,71,g
90,139,81,g
90,135,80,g
99,140,64,g
99,136,78,g
98,136,70,g
96,136,74,g
98,136,82,g
99,137,81,g
100,138,76,g
106,136,83,g
97,136,78,g
93,140,72,g
103,135,74,g
92,139,71,g
93,137,78,g
97,139,77,g
94,135,77,g
95,140,85,g
93,138,81,g
95,144,70,g
100,137,74,g
87,142,73,g
97,140,70,g
88,139,75,g
88,139,77,g
88,139,75,g
90,140,72,g
99,135,79,g
93,134,84,g
99,138,74,g
94,140,83,g
91,142,78,g
99,142,73,g
99,142,72,g
88,138,84,g
101,144,69,g
93,138,75,g
93,141,71,g
89,136,73,empty
85,136,72,empty
88,131,76,empty
86,134,80,empty
89,134,71,empty
79,90,151,empty
21,26,15,empty
56,88,110,empty
119,128,129,empty
8,21,9,empty
39,49,46,empty
44,67,62,empty
33,58,61,empty
34,79,62,empty
49,75,69,empty
44,81,72,empty
37,79,73,empty
41,70,72,empty
35,76,72,empty
48,77,69,empty
47,76,79,empty
46,81,83,empty
45,76,73,empty
52,91,87,empty
54,80,83,empty
58,94,87,empty
67,96,98,empty
12,68,73,empty
17,73,96,empty
12,67,100,empty
4,77,86,empty
95,110,108,empty
71,86,77,empty
58,70,76,empty
54,85,74,empty
51,90,80,empty
43,85,61,empty
53,85,80,empty
60,75,77,empty
58,81,76,empty
69,99,74,empty
72,101,97,empty
76,110,109,empty
113,123,120,empty
105,128,125,empty
118,132,126,empty
112,133,130,empty
121,130,127,empty
115,132,130,empty
123,133,132,empty
120,129,128,empty
98,126,122,empty
93,115,108,empty
79,108,110,empty
77,93,93,empty